??,??,??????????,?????????????,????????????,?????????,?????????,????????,?????????,???????,????,???????,??????,??????,????
??,????,????,???????,121011,???,??????,??,2022-04-29,07,??????,??????,10??,???,????
??,????,????,???????,121011,???,??????,??,2022-05-02,08,??????,??????,20??,???,????
??,????,????,???????,121011,???,??????,??,2022-07-02,15,??????????,??????,10??,???,????
??,????,????,???????,121011,???,??????,??,2022-11-09,08,??????,??????,10??,???,????
??,????,????,???????,121011,???,??????,??,2022-12-12,21,??????????,??????,50??,???,????
??,????,????,???????,121011,???,??????,??,??,??,??????,??????,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-03-05,18,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-04-11,19,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-05-28,22,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??,2022-07-14,08,??????,??????,20??,???,????
??,????,????,????,121011,???,??????,??,2022-10-20,21,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??,2022-11-30,21,???,???,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-12,09,???,???,40??,???,????
??,????,????,????,121011,???,??????,?????,2022-04-05,17,???,???,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-01-25,14,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-03-28,16,??????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-04-07,18,???,???,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-04-30,16,??????,??????,70???,???,????
??,????,????,????,121011,???,??????,?????,2022-06-26,22,???,???,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-17,13,??????,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-09-18,03,??????,??????,60-64?,???,????
??,????,????,????,121011,???,??????,?????,2022-09-25,20,???,???,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-09-30,21,???,???,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-01-24,18,???,???,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-02-19,12,???,???,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-04-09,15,???,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-05-06,10,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-05,10,???,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-10-27,13,???,???,40??,???,????
??,????,????,????,121011,???,??????,?????,2022-10-30,00,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-11-02,16,???,???,40??,???,????
??,????,????,????,121011,???,??????,?????,2022-12-15,16,???,??????,70???,???,????
??,????,????,????,121011,???,??????,?????,??,??,???,??????,10??,???,????
??,????,????,????,121011,???,??????,??????,2022-06-07,07,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-09-27,14,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-12-11,14,???????????????????,??????,40??,???,????
??,????,????,????,121011,???,??????,??????,2022-12-24,12,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-04-13,21,??????????,??????,10??,???,????
??,????,????,????,121011,???,??????,??????,2022-04-20,20,???????????????????,???,60-64?,???,????
??,????,????,????,121011,???,??????,??????,2022-04-27,22,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-06-25,02,???????????????????,??????,10??,???,????
??,????,????,????,121011,???,??????,??????,2022-07-15,09,???,??????,65-69?,???,????
??,????,????,????,121011,???,??????,??????,2022-07-18,01,???,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-08-15,01,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-01-17,15,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,???,2022-09-18,12,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-09-25,20,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-03-22,16,?????,??????,65-69?,???,????
??,????,????,????,121011,???,??????,?????,2022-01-05,18,??????????,??????,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-05-22,20,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-05-26,19,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-10-22,18,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-04,14,???,???,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-15,08,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-21,18,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-23,03,???????????????????,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,??,??,???,???,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-01-13,17,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-06-13,10,???,??????,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-01,07,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-24,05,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-10-14,21,???????????????????,??????,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-11-10,10,??????????,??????,65-69?,???,????
??,????,????,????,121011,???,??????,?????,2022-04-10,12,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-05-17,22,?????,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-13,16,???,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-18,19,???,??????,50??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-08,17,???,???,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-09-26,23,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-01-13,17,?????,??????,30??,???,????
??,????,????,??????,121011,???,??????,???,2022-07-03,21,?????,??????,30??,???,????
??,????,????,??????,121011,???,??????,???,2022-11-05,21,?????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-11-28,21,???,???,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-03-17,17,???????????????????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-08-19,12,???????????????????,??????,10??,???,????
??,????,????,??????,121011,???,??????,?????,2022-12-02,13,???????????????????,???,70???,???,????
??,????,????,??????,121011,???,??????,???,2021-12-28,06,?????,??????,50??,???,????
??,????,????,??????,121011,???,??????,???,2022-01-25,21,?????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-03-08,11,???,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-03-13,12,???,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-03-13,12,???,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-05-25,20,???,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-07,12,??????,??????,30??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-11,21,??????,??????,30??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-21,07,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-24,07,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-24,07,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-24,17,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-25,10,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-07-15,12,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-07-22,18,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-08-02,16,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-08-07,11,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-08-10,08,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-09-04,10,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-09-09,14,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-11-16,16,???,???,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-11-29,20,???,??????,60-64?,???,????
??,????,????,??????,121011,???,??????,???,2022-12-08,07,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-12-14,17,??????,??????,40??,???,????
??,????,????,??????,121011,???,??????,???,2022-03-11,06,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-03-26,19,??????????,??????,40??,???,????
??,????,????,??????,121011,???,??????,???,2022-04-11,12,???????????????????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-05-12,07,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-06-07,20,???,??????,40??,???,????
??,????,????,??????,121011,???,??????,???,2022-07-17,07,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-07-17,11,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-08-11,12,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-09-08,06,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-10-30,07,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,???,2022-11-12,16,?????,???,40??,???,????
??,????,????,??????,121011,???,??????,???,2022-11-17,21,???????????????????,??????,10??,???,????
??,????,????,??????,121011,???,??????,???,2022-12-18,08,??????,??????,30??,???,????
??,????,????,????,121011,???,??????,??????,2022-01-15,20,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-05-13,20,???,??????,30??,???,????
??,????,????,????,121011,???,??????,??????,2022-11-08,07,??????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-09-09,21,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,???,2022-03-25,14,??????,??????,50??,???,????
??,????,????,????,121011,???,??????,???,2022-03-29,19,??????????,???,40??,???,????
??,????,????,????,121011,???,??????,???,2022-07-20,14,??????,??????,20??,???,????
??,????,????,????,121011,???,??????,???,2022-07-20,18,??????,??????,40??,???,????
??,????,????,????,121011,???,??????,???,2022-08-13,11,??????,??????,20??,???,????
??,????,????,????,121011,???,??????,??????,2022-10-06,05,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-02-01,20,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-01,18,??????????,??????,40??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-05,06,??????????,???,50??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-06,17,??????,??????,40??,???,????
??,????,????,????,121011,???,??????,?????,2022-09-19,23,??????????,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-06,18,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-31,00,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-03-23,14,??????,??????,10??,???,????
??,????,????,????,121011,???,??????,???,2022-06-17,20,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,???,2022-06-24,15,?????,??????,10??,???,????
??,????,????,????,121011,???,??????,????,2022-06-10,11,???,??????,10??,???,????
??,????,????,????,121011,???,??????,???,2022-06-22,19,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,???,2022-06-24,19,??????,??????,10??,???,????
??,????,????,????,121011,???,??????,???,2022-06-26,10,?????,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-07-22,12,??????????,??????,30??,???,????
??,????,????,????,121011,???,??????,?????,2022-03-27,05,???,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-04-11,05,???,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-06-07,21,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-08-19,20,???????????????????,??????,20??,???,????
??,????,????,????,121011,???,??????,????,2022-08-10,08,???????????????????,???,50??,???,????
??,????,????,????,121011,???,??????,?????,2022-10-06,07,??????,??????,10??,???,????
??,????,????,????,121011,???,??????,?????,2022-01-06,18,??????????,??????,20??,???,????
??,????,????,????,121011,???,??????,?????,2022-10-30,21,???,???,40??,???,????
??,????,????,????,121011,???,??????,???,2022-05-18,11,?????,??????,40??,???,????
??,????,????,????,121011,???,??????,???,2022-06-08,18,??????????,??????,10??,???,????
??,????,????,????,121011,???,??????,???,2022-09-16,22,?????,???,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-04-10,12,???????????????????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-01-23,17,??????????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-01-26,07,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-05-02,16,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,?????,2022-05-20,09,??????,??????,40??,???,????
??,????,????,??????,121011,???,??????,?????,2022-05-31,05,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-07-08,07,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-08-09,12,??????,??????,30??,???,????
??,????,????,??????,121011,???,??????,?????,2022-09-02,09,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-09-04,23,??????????,??????,30??,???,????
??,????,????,??????,121011,???,??????,?????,2022-09-23,20,??????????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-09-27,20,??????,??????,10??,???,????
??,????,????,??????,121011,???,??????,?????,2022-10-26,08,??????,??????,30??,???,????
??,????,????,??????,121011,???,??????,?????,2022-11-28,17,??????,??????,50??,???,????
??,????,????,??????,121011,???,??????,?????,2022-12-08,10,??????,??????,20??,???,????
??,????,????,??????,121011,???,??????,?????,2022-02-15,17,???????????????????,??????,70???,???,????
??,????,????,??????,121011,???,??????,?????,2022-06-28,18,???????????????????,??????,20??,???,????
