罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,市川,大洲交番,122033,千葉県,市川市,大洲１丁目,2022-12-15,21,道路上,女性,50歳代,あり
窃盗,ひったくり,市川,市川駅前交番,122033,千葉県,市川市,新田１丁目,2022-07-17,19,道路上,女性,50歳代,あり
窃盗,ひったくり,市川,本八幡交番,122033,千葉県,市川市,八幡３丁目,2022-04-27,09,その他,女性,50歳代,あり
窃盗,ひったくり,市川,本八幡交番,122033,千葉県,市川市,八幡３丁目,2022-10-14,16,その他,女性,70歳以上,あり
窃盗,ひったくり,市川,真間交番,122033,千葉県,市川市,須和田２丁目,2022-05-26,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,市川,真間交番,122033,千葉県,市川市,真間３丁目,2022-07-19,22,道路上,男性,70歳以上,あり
窃盗,ひったくり,市川,菅野交番,122033,千葉県,市川市,下貝塚１丁目,2022-07-27,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,市川,菅野交番,122033,千葉県,市川市,菅野１丁目,2022-10-04,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,市川,菅野交番,122033,千葉県,市川市,東菅野１丁目,2022-06-07,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,浦安,富士見交番,122271,千葉県,浦安市,富士見２丁目,2022-06-27,21,道路上,女性,40歳代,あり
窃盗,ひったくり,浦安,浦安駅前交番,122271,千葉県,浦安市,海楽２丁目,2022-06-13,12,道路上,女性,60-64歳,あり
窃盗,ひったくり,浦安,浦安駅前交番,122271,千葉県,浦安市,当代島１丁目,2022-09-14,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸,八柱交番,122076,千葉県,松戸市,牧の原２丁目,2022-12-22,19,道路上,男性,60-64歳,あり
窃盗,ひったくり,松戸,北松戸交番,122076,千葉県,松戸市,上本郷,2022-09-28,22,道路上,女性,50歳代,あり
窃盗,ひったくり,松戸,小根本交番,122076,千葉県,松戸市,岩瀬,2022-06-05,18,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸,小根本交番,122076,千葉県,松戸市,小根本,2022-07-29,23,道路上,女性,20歳代,あり
窃盗,ひったくり,松戸,新松戸交番,122076,千葉県,松戸市,幸谷,2022-06-19,23,道路上,男性,50歳代,あり
窃盗,ひったくり,松戸,新松戸交番,122076,千葉県,松戸市,新松戸北１丁目,2022-07-27,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸,松戸駅前交番,122076,千葉県,松戸市,小山,2022-07-18,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸,松戸駅前交番,122076,千葉県,松戸市,根本,2022-05-14,23,道路上,女性,65-69歳,あり
窃盗,ひったくり,松戸,松戸駅前交番,122076,千葉県,松戸市,樋野口,2022-01-03,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸,松戸駅前交番,122076,千葉県,松戸市,本町,2022-10-03,17,道路上,女性,60-64歳,あり
窃盗,ひったくり,松戸,松戸駅前交番,122076,千葉県,松戸市,松戸,2022-07-30,12,道路上,女性,60-64歳,あり
窃盗,ひったくり,松戸,栄町交番,122076,千葉県,松戸市,栄町８丁目,2022-05-03,22,道路上,男性,60-64歳,なし
窃盗,ひったくり,野田,野田市駅前交番,122084,千葉県,野田市,野田,2022-06-08,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,柏,旭町交番,122173,千葉県,柏市,旭町５丁目,2022-01-30,21,道路上,男性,40歳代,なし
窃盗,ひったくり,柏,柏の葉キャンパス交番,122173,千葉県,柏市,柏の葉３丁目,2022-09-05,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,柏,緑ヶ丘交番,122173,千葉県,柏市,東台本町,2022-01-29,23,道路上,女性,50歳代,あり
窃盗,ひったくり,柏,緑ヶ丘交番,122173,千葉県,柏市,千代田２丁目,2022-01-03,21,道路上,女性,50歳代,あり
窃盗,ひったくり,佐倉,京成志津駅前交番,122122,千葉県,佐倉市,西志津６丁目,2022-08-22,00,道路上,女性,40歳代,あり
窃盗,ひったくり,佐倉,京成志津駅前交番,122122,千葉県,佐倉市,西志津６丁目,2022-09-02,23,道路上,女性,40歳代,あり
窃盗,ひったくり,茂原,本納駐在所,122106,千葉県,茂原市,本納,2022-12-15,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,木更津,木更津駅前交番,122068,千葉県,木更津市,富士見１丁目,2022-01-06,10,道路上,女性,10歳代,なし
窃盗,ひったくり,館山,館山駅前交番,122050,千葉県,館山市,北条,2022-03-29,21,道路上,男性,70歳以上,あり
窃盗,ひったくり,千葉西,幕張交番,121029,千葉県,千葉市花見川区,幕張町３丁目,2022-06-26,17,道路上,女性,30歳代,あり
窃盗,ひったくり,千葉西,幕張本郷駅前交番,121029,千葉県,千葉市花見川区,幕張本郷２丁目,2022-07-21,17,道路上,女性,60-64歳,なし
窃盗,ひったくり,千葉西,新検見川駅前交番,121029,千葉県,千葉市花見川区,花園３丁目,2022-05-25,13,道路上,女性,40歳代,あり
窃盗,ひったくり,八千代,八千代台東交番,122211,千葉県,八千代市,八千代台南１丁目,2022-05-23,20,道路上,女性,20歳代,なし
窃盗,ひったくり,八千代,八千代台東交番,122211,千葉県,八千代市,八千代台南３丁目,2022-06-22,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,八千代,八千代台駅前交番,122211,千葉県,八千代市,八千代台北１１丁目,2022-05-26,18,道路上,女性,30歳代,あり
窃盗,ひったくり,八千代,勝田台交番,122211,千葉県,八千代市,勝田台３丁目,2022-09-11,23,道路上,女性,30歳代,あり
窃盗,ひったくり,八千代,勝田台交番,122211,千葉県,八千代市,勝田台４丁目,2022-09-24,23,道路上,女性,20歳代,あり
窃盗,ひったくり,八千代,勝田台交番,122211,千葉県,八千代市,勝田台６丁目,2022-09-07,00,道路上,女性,20歳代,あり
窃盗,ひったくり,船橋東,前原交番,122041,千葉県,船橋市,中野木２丁目,2022-02-04,16,その他,女性,10歳未満,なし
窃盗,ひったくり,船橋東,習志野台交番,122041,千葉県,船橋市,習志野台２丁目,2022-06-29,09,道路上,女性,50歳代,あり
窃盗,ひったくり,船橋東,習志野台交番,122041,千葉県,船橋市,西習志野２丁目,2022-06-29,09,道路上,女性,30歳代,なし
窃盗,ひったくり,船橋東,習志野台交番,122041,千葉県,船橋市,西習志野４丁目,2022-08-17,23,道路上,女性,40歳代,あり
窃盗,ひったくり,船橋東,薬円台交番,122041,千葉県,船橋市,薬円台２丁目,2022-06-21,13,道路上,女性,65-69歳,あり
窃盗,ひったくり,船橋東,薬円台交番,122041,千葉県,船橋市,薬円台５丁目,2022-06-21,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸東,六実交番,122076,千葉県,松戸市,六高台３丁目,2022-01-30,20,道路上,男性,30歳代,なし
窃盗,ひったくり,松戸東,常盤平交番,122076,千葉県,松戸市,常盤平４丁目,2022-10-22,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸東,常盤平交番,122076,千葉県,松戸市,常盤平４丁目,2022-10-26,05,道路上,男性,70歳以上,なし
窃盗,ひったくり,松戸東,馬橋交番,122076,千葉県,松戸市,馬橋,2022-02-22,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,松戸東,馬橋交番,122076,千葉県,松戸市,馬橋,2022-03-20,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,流山,初石交番,122203,千葉県,流山市,西初石３丁目,2022-09-05,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,流山,南流山駅前交番,122203,千葉県,流山市,大字流山,2022-07-17,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,流山,流山おおたかの森駅前交番,122203,千葉県,流山市,野々下５丁目,2022-01-28,23,道路上,男性,50歳代,あり
窃盗,ひったくり,千葉東,みつわ台交番,121045,千葉県,千葉市若葉区,みつわ台２丁目,2022-09-21,04,道路上,男性,50歳代,なし
窃盗,ひったくり,千葉東,若松交番,121045,千葉県,千葉市若葉区,愛生町,2022-09-26,04,道路上,女性,50歳代,あり
窃盗,ひったくり,千葉東,若松交番,121045,千葉県,千葉市若葉区,都賀の台１丁目,2022-06-08,16,道路上,女性,50歳代,あり
窃盗,ひったくり,千葉東,若松交番,121045,千葉県,千葉市若葉区,若松町,2022-06-23,08,道路上,女性,70歳以上,あり
窃盗,ひったくり,鎌ケ谷,鎌ヶ谷大仏交番,122246,千葉県,鎌ケ谷市,東道野辺７丁目,2022-12-22,19,道路上,女性,65-69歳,なし
窃盗,ひったくり,千葉北,柏台交番,121037,千葉県,千葉市稲毛区,長沼町,2022-06-08,12,道路上,女性,50歳代,あり
窃盗,ひったくり,千葉北,畑交番,121029,千葉県,千葉市花見川区,朝日ケ丘４丁目,2022-06-23,10,道路上,女性,65-69歳,あり
窃盗,ひったくり,千葉北,穴川交番,121037,千葉県,千葉市稲毛区,天台５丁目,2022-09-21,06,道路上,女性,50歳代,なし
窃盗,ひったくり,千葉北,穴川交番,121037,千葉県,千葉市稲毛区,天台町,2022-06-27,07,その他,女性,30歳代,あり
窃盗,ひったくり,千葉北,穴川交番,121037,千葉県,千葉市稲毛区,天台町,2022-06-27,07,その他,女性,50歳代,なし
窃盗,ひったくり,行徳,今井橋交番,122033,千葉県,市川市,新井２丁目,2022-12-09,21,道路上,女性,40歳代,あり
窃盗,ひったくり,行徳,行徳駅前交番,122033,千葉県,市川市,行徳駅前２丁目,2022-08-12,23,道路上,女性,70歳以上,あり
窃盗,ひったくり,行徳,行徳駅前交番,122033,千葉県,市川市,行徳駅前４丁目,2022-09-14,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,行徳,行徳駅前交番,122033,千葉県,市川市,湊新田２丁目,2022-07-14,08,道路上,女性,70歳以上,あり
窃盗,ひったくり,四街道,大日交番,122289,千葉県,四街道市,大日,2022-01-05,21,道路上,男性,60-64歳,あり
